Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1326049732,KXG5820,NY,PAS,07/03/2023,14,SDN,HONDA,P,59590,9440,0,20240428,109,109,109,975295,0109,0000,0834P,,Q,,,PRINCE STREET,40 ROAD,0,408,E2,,BBBBBBB,ALL,ALL,GREY,0,2007,-,0,,,,,
1326051532,KKX4930,NY,PAS,06/29/2023,50,SDN,HONDA,P,37890,51290,51895,20250426,109,109,109,969896,0109,0000,0439P,0435P,Q,O,46-50,BURLING STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,,,,
1326051740,LCV1407,NY,PAS,06/29/2023,98,SUBN,TOYOT,P,24090,10290,52490,20250619,109,109,109,959549,0109,0000,0629P,,Q,F,46-08,161 ST,,0,408,E5,,BBBBBBB,ALL,ALL,BLK,0,2008,-,0,,,,,
1326051787,KWG4794,NY,PAS,06/29/2023,40,SDN,KIA,P,23840,57790,42120,20240910,109,109,109,959549,0109,0000,1150P,,Q,F,40-22,158 ST,,0,408,K6,,BBBBBBB,ALL,ALL,RED,0,2021,-,0,,,,,
1326051799,GTK9218,NY,PAS,06/30/2023,98,SDN,VOLKS,P,28940,9690,57790,20240928,109,109,109,959549,0109,0000,0600P,,Q,F,42-26,AUBURNDALE LN,,0,408,E2,,BBBBBBB,ALL,ALL,GOLD,0,2012,-,0,,,,,
1326051817,HTM79881,NY,PAS,06/30/2023,21,SUBN,TOYOT,P,21790,5940,0,20230910,109,109,109,959549,0109,0000,0634P,,Q,,,128 ST,14 AVE,0,408,D1,,BBBBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
1326051842,JD32DX,FL,PAS,06/30/2023,6,TRUC,VOLVO,P,36400,24240,46090,20231031,109,109,109,959549,0109,0000,0933P,,,O,172-00,BOOTH MEMORIAL AVE,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1326051880,LAV8331,NY,PAS,06/30/2023,98,SUBN,LEXUS,P,8440,65490,58590,20250313,109,109,109,959549,0109,0000,1010P,,Q,F,140-84,34 AVE,,0,408,K6,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1326051945,JRV6573,NY,PAS,06/26/2023,40,SUBN,ACURA,P,6190,23090,23190,20240531,109,109,109,951887,0109,0000,1029A,,Q,F,147-63,18 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2020,-,0,,,,,
1326051957,JLF9909,NY,PAS,06/26/2023,14,SDN,AUDI,P,8590,53390,65490,20250718,109,109,109,951887,0109,0000,1125A,,Q,F,138-11,35 AVE,,0,408,E2,,BBBBBBB,ALL,ALL,RD,0,2010,-,0,,,,,
1326051969,JGG8642,NY,PAS,06/26/2023,14,SUBN,TOYOT,P,8590,53390,65490,20250130,109,109,109,951887,0109,0000,1127A,,Q,F,138-11,35 AVE,,0,408,C,,BBBBBBB,ALL,ALL,WH,0,2019,-,0,,,,,
1326051970,KZC6291,NY,PAS,06/26/2023,40,SUBN,FORD,P,6940,23090,23190,20241207,109,109,109,951887,0109,0000,1135A,,Q,F,147-02,23 AVE,,0,408,C,,BBBBBBB,ALL,ALL,WH,0,2022,-,0,,,,,
1326052007,LCA6340,NY,PAS,06/26/2023,40,SDN,DODGE,P,21790,6790,6940,20250519,109,109,109,951887,0109,0000,1226P,,Q,F,22-28,128 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2019,-,5,,,,,
1326052019,HUC51541,NY,PAS,06/26/2023,98,SUBN,BMW,P,23490,8440,8590,20230718,109,109,109,951887,0109,0000,0118P,,Q,F,34-05,153 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2022,-,0,,,,,
1373098879,KZB2301,NY,PAS,07/08/2023,19,VAN,CHRYS,G,11640,59990,18240,20241011,110,110,972,711096,O972,0000,0306P,,Q,O,89-01,56 AVE,,0,408,F7,,BBBBBBB,ALL,ALL,BIK,0,2022,-,0,,,,,
1377539143,KSF8886,NY,PAS,07/06/2023,46,DELV,JEEP,P,24690,36670,36690,20231017,0032,32,32,972348,0032,0000,0940P,,NY,F,703,LENOX AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2021,-,0,,,,,
1381808682,HWY5413,NY,PAS,07/05/2023,14,SUBN,GMC,P,34590,11110,11112,20240425,0010,10,10,974356,0010,0000,0416P,,,F,650,W 41 ST,,0,408,C,,BBBBBBB,ALL,ALL,YELLO,0,2001,-,0,,,,,
1402236669,KVF6775,NY,PAS,06/04/2023,46,SUBN,BMW,P,42730,78030,73470,20240207,0073,73,0,967922,TD33,0000,0435P,,K,F,2150,FULTON ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0,2022,-,0,,,,,
1402238393,KHA5660,NY,PAS,06/14/2023,17,SDN,TOYOT,P,0,0,0,20250505,0073,73,0,970399,TD33,0000,0215P,0215P,K,,,N/S FULTON ST,VAN SINDEREN AVE,0,408,C4,,YYYYYYY,ALL,ALL,BLK,0,2017,-,0,,,,,
1409446086,KXL7981,NY,PAS,06/17/2023,71,SDN,GEN,P,81050,0,0,20240731,0075,75,81,975710,0081,0000,1009P,,K,,,STANLEY,VERNONT,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2019,-,0,,,,,
1409446098,KTY1801,NY,PAS,06/06/2023,40,SUBN,HONDA,P,88030,83730,19830,20231122,0075,75,81,975710,0081,0000,1018P,,K,F,440,VERMONT ST,,0,408,D,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1410039237,HMV2754,NY,PAS,07/07/2023,20,SUBN,LEXU,Y,37290,16490,29490,20241124,110,110,976,101262,0976,0000,0730P,,Q,F,79-01,BROADWAY,,0,408,C,,BBBBBBB,ALL,ALL,SILV,0,2022,-,0,,,,,
1410039249,KTY1625,NY,PAS,07/07/2023,20,SDN,IUFAU,Y,37290,16490,29490,20231121,110,110,976,101262,0976,0000,0738P,,Q,,7901,BROADWAY,,0,408,D,,BYBBBBB,ALL,ALL,SILV,0,2004,-,0,,,,,
1412752085,KRC8524,NY,PAS,06/29/2023,20,SDN,TOYOT,P,45800,36950,30200,20230629,121,121,121,960199,0121,0000,0210A,,R,F,14,ROXBURY ST,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2006,-,0,,,,,
1414711761,KRC7131,NY,PAS,06/09/2023,46,SDN,BMW,P,15350,32700,12520,20230802,0001,1,574,931403,0574,0000,0529P,,NY,F,90,CHURCH ST,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2018,-,0,,,,,
1416879882,JLD1237,NY,PAS,06/28/2023,19,SDN,BMW,P,13610,34650,34670,20230808,0014,14,161,957018,0161,0000,0722P,,,F,1515,BROADWAY,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1417142273,LAX7567,NY,PAS,06/17/2023,17,SDN,MERCU,P,34170,10610,10810,20250420,0010,10,10,942857,0010,0000,0340P,,NY,F,223,W 20TH ST,,0,408,J3,,BBBBBBB,ALL,ALL,BLUE,0,2019,-,0,,,,,
1426446706,LO1166L,CT,PAS,06/17/2023,46,SUBN,CADIL,P,13460,13430,17050,20230617,0009,9,9,971494,0009,0000,1214A,,,F,333,BOWERY,,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1427654049,K60RTM,NJ,PAS,06/12/2023,40,SDN,HYUND,P,58125,14380,73030,0,0063,63,63,970924,0063,0000,1114P,,K,F,1672,MADISON PL,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2023,-,0,,,,,
1427962571,JFV5593,NY,PAS,06/26/2023,17,SUBN,HONDA,P,0,40404,40404,20250425,0088,88,88,960696,0088,0000,0850A,,K,F,29,FT GREENE,,0,408,E3,,YYYYYBB,0700A,0400P,RED,0,2016,-,0,,,,,
1427964464,KVR2314,NY,PAS,06/28/2023,98,SUBN,KIA,P,0,40404,40404,20240930,0088,88,88,970744,0088,0000,1235P,,K,F,60,WASHINGTON,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,2022,-,0,,,,,
1429077025,HVE4479,NY,PAS,07/04/2023,51,SUBN,FORD,P,59430,13830,29630,20230824,0066,66,66,963130,0066,0000,0142P,,K,F,660,MCDONALD AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2020,-,0,,,,,
1429302653,KWM6070,NY,PAS,07/06/2023,98,SUBN,ACURA,P,9280,5980,42630,20240808,0066,66,66,971042,0066,0000,0152A,,K,F,902,54 ST,,0,408,C3,,BBBBBBB,ALL,ALL,GREY,0,2008,-,0,,,,,
1436251758,LCJ3694,NY,PAS,06/09/2023,40,SDN,HONDA,P,55930,73350,42730,20250524,0075,75,81,975701,0081,0000,0927P,,K,F,182,LINCOLN AVE,,0,408,J6,,BBBBBBB,ALL,ALL,GRY,0,2017,-,0,,,,,
1436251825,KLX5185,NY,PAS,06/05/2023,71,SDN,HONDA,P,39830,55930,65330,20230423,0075,75,81,975701,0081,0000,1229A,,K,O,371,ETNA STREET,,0,408,E2,,BBBBBBB,ALL,ALL,RED,0,2021,-,0,,,,,
1436368868,LYL9087,NY,PAS,01/02/2023,14,SDN,HONDA,P,45250,40404,40404,20230102,,0,43,957888,0043,0000,0855A,,BX,F,1164,WHEELER AVE,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1436401550,K86PYJ,NJ,PAS,06/12/2023,40,SDN,HONDA,P,14620,27600,27630,0,0052,52,52,934638,0052,0000,0555A,,BX,F,2889A,BRIGGS AVE,,0,408,J2,,BBBBBBB,ALL,ALL,BL,0,0,-,1,,,,,
1436819246,KPS1605,NY,PAS,07/06/2023,19,SDN,HONDA,P,34490,10610,10810,20230930,0014,14,14,975427,0014,0000,0825P,0825P,,F,270,WEST 36TH ST,,20230706,408,C,,BBBBBBB,ALL,ALL,RED,0,2020,-,0,,,,,
1437222353,KYA8755,NY,PAS,05/26/2023,17,SDN,TOYOT,P,21790,19985,29440,20241005,0001,1,161,964241,0161,0000,0915A,,,O,88,GREENWICH ST,,0,408,F1,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,
1437222365,MBD6291,PA,PAS,06/09/2023,17,SDN,AUDI,P,29440,13610,32615,20231031,0001,1,161,964241,0161,0000,1208P,,,F,1,RECTOR ST,,0,408,J6,,YYYYYYY,0700A,0800P,BLK,0,2009,-,0,,,,,
1437224957,KZX4703,NY,PAS,05/26/2023,40,SDN,TOYOT,P,29440,32615,21790,20250312,0001,1,161,949519,0161,0000,0910A,,NY,F,5,RECTOR ST,,0,408,D,,BBBBBBB,ALL,ALL,GY,0,2007,-,7,,,,,
1438495407,L14KXY,NJ,PAS,06/18/2023,14,SDN,VOLVO,P,25630,21090,30640,0,0001,1,1,939421,0001,0000,0205A,,NY,F,151,MAIDEN LANE,,0,408,K2,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1438850190,JCM5727,NY,PAS,06/09/2023,98,SDN,BMW,P,28280,70209,29337,20230201,120,120,120,957745,0120,0000,0712A,0712A,R,F,102,FILLMORE ST,,0,408,F2,,BBBBBBB,ALL,ALL,GREY,0,2002,-,0,,,,,
1438856271,JHD4365,NY,PAS,07/11/2023,71,,HONDA,P,45050,0,0,20250529,120,120,437,962318,0437,0000,0743A,0740A,R,F,1,RICHMOND TERRACE,,0,408,K6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1438869095,KYD3527,PA,PAS,06/16/2023,20,SUBN,TOYOT,P,1039,11110,11110,0,0010,10,10,949112,0010,0000,1155P,,,F,15,HUDSON YARDS,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1438869332,LBR9406,99,PAS,06/16/2023,40,,TOYOT,P,34310,16400,11010,20250509,0010,10,10,949581,0010,0000,0709A,,,F,406,W 27 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BL,0,0,-,0,,,,,
1438869344,KZE7225,NJ,PAS,06/18/2023,14,,JEEP,P,34330,10065,11110,20241020,0010,10,10,949581,0010,0000,1235A,,NY,F,554,W 28 ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1439103264,LTY8243,PA,PAS,06/11/2023,14,SUBN,JEEP,Y,27790,19390,0,0,0025,25,976,100038,0976,0000,0200A,,NY,O,1752,PK AVE,122 ST,0,408,C,,YYYYYYB,1200,1200,WT,0,0,-,0,,,,,
1439103276,KWF9566,NY,PAS,06/11/2023,14,SDN,NISSA,Y,27790,19390,0,0,0025,25,976,100038,0976,0000,0209A,,NY,O,1752,PK AVE,122ND ST,0,408,C,,YYYYYYY,1200A,1200A,GY,0,0,-,0,,,,,
1439103288,LCB9314,NY,PAS,06/12/2023,14,SDN,HONDA,Y,27790,19370,0,0,0025,25,976,100038,0976,0000,0130A,,NY,O,1752,PK AVE,121 ST,0,408,C,,YYYYYYY,1200A,1200A,RD,0,0,-,0,,,,,
1439103306,HEP7651,99,PAS,06/12/2023,14,MTN,OHIO,Y,27790,0,0,0,0025,25,976,100038,0976,0000,0520A,,NY,O,1752,PK AVE,122ND,0,408,C,,YYYYYYY,1200A,1200A,RD,0,0,-,0,,,,,
1439103318,LTY8243,PA,PAS,06/12/2023,14,SUBN,JEEP,Y,27790,0,0,0,0025,25,976,100038,0976,0000,0525A,,,O,1752,PK AVE,122ND,0,408,C,,YYYYYYY,1200A,1200A,WT,0,0,-,0,,,,,
1439255611,JAA5005,NY,PAS,06/03/2023,17,SUBN,JEEP,P,58590,42850,42850,20240518,107,107,809,958418,0809,0000,1100P,,Q,F,67-06,PARSONS BLVD,,0,408,E2,,BBBBBBB,ALL,ALL,,0,2022,-,0,,,,,
1439300525,MFM5751,PA,PAS,06/20/2023,24,SUBN,AUDI,P,0,0,0,0,0009,9,0,956920,PSA4,0000,0935A,,,,,S/O 950 EAST 4TH WAL,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1439391841,JBB9619,NY,PAS,06/25/2023,98,SDN,HONDA,P,23930,38630,29930,20240814,0083,83,83,952546,0083,0000,0920P,,K,F,1308,BUSHWICK AVE,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1439989620,LCW2159,NY,PAS,06/23/2023,40,SDN,BMW,P,16740,8790,61090,20250614,115,115,115,958056,0115,0000,0830P,,Q,F,37-20,81 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2011,-,2,,,,,
1439989631,KGA5179,NY,PAS,06/23/2023,19,SDN,HONDA,P,15640,35780,8890,20241018,115,115,115,958056,0115,0000,0855P,,Q,F,37-05,74 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1440207434,LBX5173,NY,PAS,07/05/2023,98,SUBN,BMW,P,32790,40404,40404,20250522,0075,75,75,939964,0075,0000,0650A,,K,,222,DINSMORE,,0,408,F1,,BBBBBBB,ALL,ALL,SIL,0,2005,-,0,,,,,
1440301580,KYC3484,NY,PAS,06/17/2023,40,SUBN,HONDA,P,22990,13113,30590,20240607,0034,34,34,974317,0034,0000,1209A,,NY,O,99,HILLSIDE AVE,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1440301633,KZJ1818,NY,PAS,07/06/2023,46,SDN,VOLKS,P,27690,37430,37470,20241011,0034,34,34,942317,0034,0000,1102P,,,F,45,OVERLOOK TERRACE,,0,408,D,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1440301670,KKE2414,NY,PAS,07/07/2023,14,SUBN,ME/BE,P,23290,37703,37710,20250207,0034,34,34,974317,0034,0000,0924P,,NY,F,2,INDIAN RD,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2020,-,0,,,,,
1440696652,KZZ1476,NY,PAS,07/04/2023,14,SDN,KIA,P,26820,65320,40120,20241211,0042,42,42,964680,0042,0000,0222A,,BX,O,937,E 172 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GY,0,2013,-,0,,,,,
1446474112,KXW7337,NY,PAS,07/05/2023,46,SUBN,JEEP,P,36420,29220,27420,20240808,0052,52,52,961385,0052,0000,0249A,0249A,BX,F,2537,GRAND CONCOURSE,,0,408,J2,,BBBBBBB,ALL,ALL,RED,0,2017,-,0,,,,,
1446606569,KWK8777,NY,PAS,07/03/2023,46,SDN,HONDA,9,32320,40404,40404,20240713,0046,46,837,105113,0837,0000,0609P,,BX,O,818,FEATHERBED LN,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2021,-,0,,,,,
1446659938,MBE9370,PA,PAS,06/13/2023,51,SDN,BMW,P,20490,97510,10820,0,0009,9,0,939348,PSA4,0000,0330A,,NY,,,R/O 1141 FDR,,0,408,D5,,BBBBBBB,ALL,ALL,GRAY,0,2016,-,0,,,,,
1446704828,GGU8873,NY,PAS,07/09/2023,67,VAN,FORD,P,0,40404,40404,20231118,0003,3,801,953773,0801,0000,0435P,,K,F,1690,RALPH AVE,,0,408,F7,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1446746240,K14PVL,NJ,PAS,06/06/2023,68,SUBN,HONDA,Q,48990,0,0,0,114,114,0,422286,0SUD,0000,0850A,,Q,,1831,HAZEN STREET,PARKING LOT,0,408,E2,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1446780284,LAZ1265,NY,PAS,06/08/2023,17,,BMW,Q,0,0,0,20240930,0013,13,0,0,BHPW,0000,0100A,,,,,W/S 1ST AVE,S/O E30 ST,0,408,D,,BBBBBBB,ALL,ALL,WH,0,2021,-,0,,,,,
1446780296,KPD5996,NY,PAS,06/20/2023,17,,CADIL,Q,0,0,0,20230802,0013,13,0,0,BHPW,0000,1258A,,,,,W/S 1ST AVE,S/OF E 30 ST,0,408,C4,,BBBBBBB,ALL,ALL,,0,2011,-,0,,,,,
1446940998,JEL3482,NY,PAS,05/28/2023,20,SUBN,HYUND,K,71750,13385,0,20241217,0041,41,2,160479,0002,0000,0410P,,BX,,,VIELE AVE,BARRETTO PT PK,0,408,E3,,BBBBBBB,ALL,ALL,RED,0,2019,-,0,,,,,
1446941012,LBM3237,NY,PAS,05/28/2023,20,VAN,HONDA,K,71750,13385,0,20230711,0041,41,2,160479,0002,0000,0530P,,,,,VIELE AVE,BARRETTO POINT PARK,0,408,D,,BBBBBBB,ALL,ALL,SILVE,0,2019,-,0,,,,,
1446941036,KKY2808,NY,PAS,05/28/2023,20,SUBN,NISSA,K,71750,13385,0,20250322,0041,41,2,160479,0002,0000,0700P,,BX,,,VIELE AVE,BARRETTO POINT PARK,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2021,-,0,,,,,
1446941048,JHN3713,NY,PAS,05/30/2023,10,SUBN,HONDA,K,70620,0,0,20230701,0044,44,2,160479,0002,0000,0935P,,BX,O,1370,UNIVERSITY AVE,HIGHBRIGE,0,408,D,,BBBBBBB,ALL,ALL,GRAY,0,2010,-,0,,,,,
1446941050,KHE9388,NY,PAS,05/31/2023,63,P-U,GMC,K,0,65915,0,20241231,0040,40,2,160479,0002,0000,0333P,,BX,,,ST MARYS RECREATION,ST MARYS PARK,0,408,B,,BBBBBBB,ALL,ALL,BLACK,0,2021,-,0,,,,,
1446941073,JLT1310,NY,PAS,05/30/2023,20,SDN,NISSA,K,0,48210,0,20230906,0044,44,2,160479,0002,0000,1010P,,BX,,,RUPPERT PLAZA GARAGE,MACOMBS DAM PARK,0,408,F3,,BBBBBBB,ALL,ALL,GRAY,0,2016,-,0,,,,,
1446941164,KSJ5898,NY,PAS,06/25/2023,14,SUBN,KIA,K,26460,0,0,20231226,0042,42,2,160479,0002,0000,0715P,,BX,O,415,E 160 ST,YOLANDA GARCIA PK,0,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,2010,-,0,,,,,
1446941188,K12PTF,NJ,PAS,06/27/2023,14,,HONDA,K,26640,73720,0,0,0042,42,2,160479,0002,0000,0422P,,BX,,,E 166TH ST,WEBSTER AVE,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1446953002,KNF5222,NY,PAS,06/18/2023,51,SUBN,ME/BE,K,0,0,0,20250523,0088,88,4,160374,0004,0000,0343P,,K,,,S/O FORT GREENE PARK,C/O ST EDWARDS ST,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,,
1447031301,KSF1418,NY,PAS,07/04/2023,46,SUBN,MAZDA,P,31190,36590,36670,20240227,0030,30,0,968497,TD03,0000,1043P,,NY,O,672,ST NICHOLAS AVE,,0,408,C,,BBBBBBB,ALL,ALL,BK,0,2012,-,0,,,,,
1447031672,KAA3179,NY,PAS,07/12/2023,17,SDN,INFIN,P,0,40404,40404,20250218,0030,30,0,974325,0TD3,0000,0625A,,,,707,ST NICKS,,0,408,F1,,YYYYYYY,0000,0000,BLK,0,2017,-,0,,,,,
1447171548,LZW2169,PA,PAS,07/11/2023,78,VAN,,P,36030,10610,10810,0,0028,28,28,950604,0028,0000,0420A,,,F,231,W 113 ST,,0,408,K6,,BBBBBBB,ALL,ALL,BL,0,0,-,0,,,,,
1447192205,LBW6391,NY,PAS,07/05/2023,27,SDN,SATUR,1,47150,41311,46850,20250313,122,122,992,1661,0992,0000,0919A,,R,,777,SEAVIEW AVE,,0,408,C4,,BBBBBBB,ALL,ALL,BK,0,2008,-,0,,,,,
1447415840,GJH4573,NY,PAS,06/09/2023,46,SDN,FORD,P,10410,17310,17330,20230616,0013,13,13,943430,0013,0000,1050A,,NY,F,87,5TH AVE,,0,408,J2,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1447452355,KZL3177,NY,PAS,06/08/2023,20,SDN,HONDA,P,20110,11800,56530,20241202,0084,84,84,892873,0084,0000,0820A,,K,F,1,BOERUM PLACE,,0,408,F1,,BBBBBBB,0700A,0700P,WH,0,2022,-,0,,,,,
1447582093,JXE0197,PA,PAS,06/07/2023,19,SDN,MAZDA,P,9840,56690,19540,20250630,110,110,110,965264,0110,0000,0800P,,,F,101-01,43 AVE,,0,408,C4,,BBBBBBB,ALL,ALL,GRY,0,2008,-,0,,,,,
1447608409,LCC8773,NY,PAS,06/27/2023,40,SDN,ACURA,P,18890,10790,10890,20250529,110,110,110,960097,0110,0000,1212A,,Q,F,50-22,96 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,2023,-,0,,,,,
1447608434,KYT2614,NY,PAS,06/27/2023,98,VAN,DODGE,P,48390,37190,43890,20230626,110,110,110,960097,0110,0000,0608A,,Q,O,41-14,HAMPTON ST,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2020,-,0,,,,,
1447979667,KM67474,NY,PAS,04/30/2025,98,SUBN,BMW,P,43895,48600,53790,20230719,103,103,103,949643,0103,0000,0505P,0500P,Q,F,186-37,ELMIRA AVE,,20230430,408,K6,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1490926926,GDT9771,OH,PAS,06/27/2023,27,,MITSU,A,0,0,0,20240606,113,113,642,51275,0642,0000,0540P,1740P,Q,F,,JFKIA,T 8,0,408,I3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
